recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_title
7,11,3018.09,4,4,3,443,Platinum
128,3,2226.26,1,1,2,112,Bronze
102,8,3362.81,1,4,3,143,Bronze
195,2,220.57,1,1,1,111,Bronze
16,6,2394.94,4,2,2,422,Platinum
64,5,3946.55,2,2,3,223,Silver
253,3,220.10999999999999,1,1,1,111,Bronze
22,10,7066.939999999999,3,4,4,344,Gold
78,6,2353.1099999999997,2,2,2,222,Silver
43,5,3358.28,3,2,3,323,Gold
46,6,3638.84,2,2,3,223,Silver
67,7,3540.03,2,3,3,233,Silver
27,7,4337.38,3,3,4,334,Gold
47,3,1713.9,2,1,1,211,Bronze
35,6,1728.39,3,2,1,321,Gold
99,5,4521.839999999999,1,2,4,124,Bronze
0,5,2015.61,4,2,2,422,Platinum
134,7,3543.3800000000006,1,3,3,133,Bronze
102,3,2951.79,1,1,3,113,Bronze
31,4,3608.2799999999997,3,1,3,313,Gold
6,5,4229.41,4,2,4,424,Platinum
97,8,5159.84,1,4,4,144,Bronze
10,6,4376.15,4,2,4,424,Platinum
17,7,3689.35,4,3,3,433,Platinum
5,12,5333.66,4,4,4,444,Platinum
259,2,268.2399999999999,1,1,1,111,Bronze
143,7,3274.2500000000005,1,3,3,133,Bronze
83,6,3366.5600000000004,2,2,3,223,Silver
22,9,6175.3,3,4,4,344,Gold
11,3,2633.9499999999994,4,1,2,412,Platinum
89,4,426.10999999999996,1,1,1,111,Bronze
138,7,2823.12,1,3,2,132,Bronze
38,7,5294.27,3,3,4,334,Gold
92,4,3706.51,1,1,3,113,Bronze
163,2,204.36,1,1,1,111,Bronze
7,9,6338.489999999999,4,4,4,444,Platinum
50,4,2025.34,2,1,2,212,Silver
34,12,6085.17,3,4,4,344,Gold
14,6,4552.1,4,2,4,424,Platinum
29,9,4698.89,3,4,4,344,Gold
111,4,427.04,1,1,1,111,Bronze
61,9,3619.95,2,4,3,243,Silver
35,7,4768.28,3,3,4,334,Gold
43,3,1048.1499999999999,3,1,1,311,Silver
53,5,1623.6299999999999,2,2,1,221,Silver
35,7,4332.19,3,3,4,334,Gold
82,8,5561.079999999999,2,4,4,244,Silver
36,5,4248.68,3,2,4,324,Gold
26,8,5783.66,3,4,4,344,Gold
55,8,4855.400000000001,2,4,4,244,Silver
4,6,5417.83,4,2,4,424,Platinum
7,5,2950.07,4,2,3,423,Platinum
67,7,4098.21,2,3,3,233,Silver
46,8,3220.86,2,4,3,243,Silver
2,7,1275.2399999999998,4,3,1,431,Platinum
35,6,5117.96,3,2,4,324,Gold
20,8,3501.37,3,4,3,343,Gold
22,3,2628.37,3,1,2,312,Gold
200,2,647.22,1,1,1,111,Bronze
47,6,4254.240000000001,2,2,4,224,Silver
5,6,4920.88,4,2,4,424,Platinum
68,3,2190.05,2,1,2,212,Silver
3,5,546.6799999999998,4,2,1,421,Platinum
136,6,4441.61,1,2,4,124,Bronze
43,5,4549.2,3,2,4,324,Gold
116,5,1203.2899999999997,1,2,1,121,Bronze
84,3,3842.559999999999,2,1,3,213,Silver
20,6,5294.75,3,2,4,324,Gold
4,5,2736.9,4,2,2,422,Platinum
131,1,155.6500000000001,1,1,1,111,Bronze
22,4,2559.7799999999997,3,1,2,312,Gold
168,6,2316.51,1,2,2,122,Bronze
28,3,966.5200000000001,3,1,1,311,Silver
60,8,4979.94,2,4,4,244,Silver
1,8,2868.16,4,4,3,443,Platinum
101,3,1657.58,1,1,1,111,Bronze
211,2,82.26,1,1,1,111,Bronze
43,6,2597.46,3,2,2,322,Gold
28,10,5988.86,3,4,4,344,Gold
4,4,3249.02,4,1,3,413,Platinum
78,5,2924.37,2,2,3,223,Silver
80,6,1798.2,2,2,1,221,Silver
28,7,2295.2200000000003,3,3,2,332,Gold
37,6,563.3699999999999,3,2,1,321,Gold
0,9,2360.09,4,4,2,442,Platinum
18,9,3740.7599999999998,4,4,3,443,Platinum
74,6,2534.33,2,2,2,222,Silver
4,9,5779.650000000001,4,4,4,444,Platinum
30,7,2990.73,3,3,3,333,Gold
9,8,5242.410000000001,4,4,4,444,Platinum
34,3,2967.4399999999996,3,1,3,313,Gold
79,3,2976.4099999999994,2,1,3,213,Silver
33,7,4902.21,3,3,4,334,Gold
38,4,3050.8099999999995,3,1,3,313,Gold
70,3,1135.25,2,1,1,211,Bronze
102,8,4911.21,1,4,4,144,Bronze
122,5,1930.5600000000002,1,2,2,122,Bronze
2,9,4557.65,4,4,4,444,Platinum
11,2,877.4,4,1,1,411,Gold
8,4,2589.8899999999994,4,1,2,412,Platinum
42,7,2587.0099999999998,3,3,2,332,Gold
49,5,913.3199999999999,2,2,1,221,Silver
64,8,3550.2600000000007,2,4,3,243,Silver
89,4,3475.0399999999995,1,1,3,113,Bronze
1,3,2513.69,4,1,2,412,Platinum
81,4,2343.9700000000003,2,1,2,212,Silver
10,3,2557.42,4,1,2,412,Platinum
8,10,4430.66,4,4,4,444,Platinum
14,7,2621.55,4,3,2,432,Platinum
147,4,3014.5299999999997,1,1,3,113,Bronze
47,6,5742.19,2,2,4,224,Silver
175,6,2329.49,1,2,2,122,Bronze
70,4,2195.26,2,1,2,212,Silver
14,8,3135.87,4,4,3,443,Platinum
12,8,2447.5400000000004,4,4,2,442,Platinum
5,10,6917.34,4,4,4,444,Platinum
69,5,3550.0999999999995,2,2,3,223,Silver
30,4,4217.24,3,1,4,314,Gold
129,3,1306.7800000000002,1,1,1,111,Bronze
111,4,2892.0899999999997,1,1,3,113,Bronze
8,5,2695.22,4,2,2,422,Platinum
191,4,3245.75,1,1,3,113,Bronze
2,7,4054.25,4,3,3,433,Platinum
83,10,3345.01,2,4,3,243,Silver
11,3,1096.46,4,1,1,411,Gold
23,10,3993.71,3,4,3,343,Gold
137,4,2193.06,1,1,2,112,Bronze
178,4,2753.75,1,1,2,112,Bronze
76,2,1779.58,2,1,1,211,Bronze
205,6,5494.91,1,2,4,124,Bronze
7,6,2780.7200000000003,4,2,2,422,Platinum
26,5,803.8900000000001,3,2,1,321,Gold
14,6,2946.42,4,2,3,423,Platinum
115,7,4549.5,1,3,4,134,Bronze
20,8,3543.2,3,4,3,343,Gold
27,5,1496.4499999999998,3,2,1,321,Gold
64,7,3377.12,2,3,3,233,Silver
26,9,5161.44,3,4,4,344,Gold
3,6,2699.9,4,2,2,422,Platinum
159,3,2138.3500000000004,1,1,2,112,Bronze
4,11,3917.3399999999997,4,4,3,443,Platinum
13,4,2474.77,4,1,2,412,Platinum
